Ticker,Name,AssetClass,Region,Yield1Y,Yield3Y,Yield5Y,MaxDD3Y,ExpenseRatio,AUM_Billion,Style,Volatility15D
SPY,SPDR S&P 500 ETF,股票,美国,+14.2,+48.5,+82.3,-24.5,0.09,520.0,大盘,0.85
QQQ,Invesco QQQ Trust,股票,美国,+18.5,+55.2,+105.8,-32.8,0.20,280.0,科技成长,1.25
VTI,Vanguard Total Stock Market,股票,美国,+13.8,+46.2,+78.5,-23.5,0.03,350.0,全市场,0.82
BND,Vanguard Total Bond Market,债券,美国,+2.5,+5.8,+8.2,-12.5,0.03,95.0,综合债券,0.35
TLT,iShares 20+ Year Treasury,债券,美国,-4.2,+8.5,-12.0,-28.5,0.15,45.0,长久期国债,0.95
VNQ,Vanguard Real Estate,REIT,美国,+8.5,+12.8,+18.5,-25.8,0.12,55.0,房地产,1.05
GLD,SPDR Gold Trust,商品,全球,+12.5,+25.8,+52.0,-18.2,0.40,75.0,贵金属,0.78
VXUS,Vanguard Total International,股票,全球,+8.2,+18.5,+28.0,-22.5,0.07,85.0,国际股票,0.88
EMB,iShares Emerging Markets Bond,债券,新兴市场,+6.5,+9.2,+12.5,-18.5,0.39,18.0,新兴债,0.72
SHY,iShares 1-3 Year Treasury,债券,美国,+3.8,+7.2,+9.5,-2.5,0.15,28.0,短债,0.15
